/ / Math.max + Math.max instancia.p[tarea] + intervalo.inicio + instancia.d[tarea] Math.max null null intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null instancia.d[tarea] + null null null null null null null null null null null null null null null null null null null null null null intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / Math.max / Math.max instancia.d[tarea] + + Math.max instancia.d[tarea] + null null intervalo.inicio intervalo.inicio intervalo.inicio + instancia.p[tarea] + null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null intervalo.inicio instancia.p[tarea] null null intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / Math.max / Math.max Math.max + + Math.max instancia.d[tarea] + instancia.d[tarea] + intervalo.inicio * intervalo.inicio instancia.p[tarea] instancia.d[tarea] + null null intervalo.inicio * null null instancia.p[tarea] instancia.p[tarea] null null 0.6 instancia.p[tarea] null null null null null null intervalo.inicio instancia.p[tarea] null null null null null null 0.6 intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / Math.max / Math.max instancia.p[tarea] + + Math.max instancia.d[tarea] + null null intervalo.inicio intervalo.inicio intervalo.inicio + instancia.d[tarea] + null null intervalo.inicio intervalo.inicio null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / / Math.max / Math.max / Math.max instancia.p[tarea] + / Math.max instancia.p[tarea] + + + instancia.d[tarea] + null null intervalo.inicio intervalo.inicio + * instancia.d[tarea] + null null intervalo.inicio intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / Math.max null null instancia.d[tarea] + / Math.max instancia.p[tarea] * null null null null null null instancia.p[tarea] intervalo.inicio + + instancia.d[tarea] + null null intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* * / / / / Math.max intervalo.inicio Math.max / Math.max / Math.max instancia.p[tarea] + null null instancia.d[tarea] + + + instancia.d[tarea] + + * instancia.d[tarea] + null null intervalo.inicio intervalo.inicio null null null null null null instancia.p[tarea] intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio / / Math.max null null intervalo.inicio Math.max / Math.max instancia.d[tarea] + null null null null null null instancia.p[tarea] + + + instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / Math.max null null instancia.d[tarea] Math.max / Math.max instancia.d[tarea] + null null null null null null intervalo.inicio + + + instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null intervalo.inicio intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* + / instancia.p[tarea] intervalo.inicio / Math.max null null null null / Math.max instancia.d[tarea] + null null null null null null null null + + instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.p[tarea] null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / instancia.d[tarea] * / / null null Math.max Math.max + * Math.max * null null null null instancia.p[tarea] intervalo.inicio instancia.d[tarea] + instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.d[tarea] + intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / / Math.max / Math.max / Math.max instancia.d[tarea] + / Math.max instancia.p[tarea] + + + instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio + * instancia.d[tarea] + null null intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio null null intervalo.inicio intervalo.inicio null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* * / / / / / intervalo.inicio Math.max / Math.max + * Math.max * null null instancia.d[tarea] + + * instancia.d[tarea] + instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.d[tarea] + instancia.d[tarea] intervalo.inicio null null null null null null instancia.p[tarea] intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / / Math.max / Math.max / Math.max instancia.d[tarea] + / Math.max instancia.p[tarea] + + + instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio + * instancia.d[tarea] + null null intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / / Math.max / Math.max / Math.max instancia.d[tarea] + / Math.max instancia.d[tarea] + + + instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio + + instancia.d[tarea] + null null intervalo.inicio intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / / null null instancia.d[tarea] + / Math.max Math.max Math.max null null null null null null instancia.p[tarea] intervalo.inicio + + instancia.d[tarea] + instancia.d[tarea] + instancia.d[tarea] + null null null null null null null null null null null null null null null null intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / Math.max / Math.max instancia.d[tarea] + + Math.max instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio instancia.p[tarea] intervalo.inicio instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / instancia.d[tarea] * / / null null * Math.max intervalo.inicio Math.max Math.max + null null null null intervalo.inicio instancia.d[tarea] instancia.d[tarea] + null null instancia.d[tarea] + instancia.d[tarea] + instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null instancia.p[tarea] intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / / null null instancia.d[tarea] + / Math.max / Math.max null null null null null null instancia.p[tarea] intervalo.inicio + + instancia.d[tarea] + + + instancia.d[tarea] + null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio null null intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / Math.max null null instancia.d[tarea] + / Math.max intervalo.inicio + null null null null null null instancia.p[tarea] intervalo.inicio + * instancia.d[tarea] + null null intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] instancia.d[tarea] intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / Math.max null null instancia.d[tarea] Math.max / Math.max intervalo.inicio Math.max null null null null null null instancia.d[tarea] + + + instancia.d[tarea] + null null instancia.d[tarea] + null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / / null null instancia.d[tarea] + / Math.max intervalo.inicio Math.max null null null null null null instancia.p[tarea] intervalo.inicio + * instancia.d[tarea] + null null instancia.p[tarea] + null null null null null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null instancia.p[tarea] intervalo.inicio null null null null null null intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / / Math.max / Math.max / Math.max instancia.d[tarea] + / Math.max instancia.p[tarea] + + + instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio + + instancia.d[tarea] + null null intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / / Math.max / Math.max + + instancia.d[tarea] Math.max / Math.max instancia.d[tarea] + intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null instancia.d[tarea] + + + instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / Math.max null null instancia.d[tarea] + / Math.max instancia.p[tarea] + null null null null null null instancia.p[tarea] intervalo.inicio + * instancia.d[tarea] + null null intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / instancia.d[tarea] * / / null null * Math.max * * Math.max * null null null null intervalo.inicio instancia.d[tarea] instancia.d[tarea] + + intervalo.inicio instancia.p[tarea] Math.max instancia.d[tarea] + intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio instancia.p[tarea] intervalo.inicio null null null null instancia.d[tarea] intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / instancia.d[tarea] * / / null null * Math.max intervalo.inicio Math.max Math.max + null null null null intervalo.inicio instancia.d[tarea] instancia.d[tarea] + null null instancia.d[tarea] intervalo.inicio instancia.d[tarea] + instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / Math.max null null instancia.d[tarea] + / Math.max instancia.d[tarea] + null null null null null null instancia.p[tarea] intervalo.inicio + * instancia.d[tarea] + null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio Math.max / Math.max null null instancia.d[tarea] + / Math.max intervalo.inicio + null null null null null null instancia.p[tarea] intervalo.inicio + + instancia.d[tarea] + null null instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / intervalo.inicio * / / null null * Math.max intervalo.inicio * Math.max * null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] + null null instancia.p[tarea] Math.max instancia.d[tarea] + intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null promedioDuraciones() intervalo.inicio null null null null null null intervalo.inicio intervalo.inicio null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / / instancia.d[tarea] * / / null null * Math.max intervalo.inicio * Math.max * null null null null intervalo.inicio instancia.d[tarea] instancia.d[tarea] + null null instancia.p[tarea] + instancia.d[tarea] + promedioDuraciones() instancia.p[tarea] null null null null null null null null null null null null null null promedioDuraciones() intervalo.inicio null null null null null null intervalo.inicio promedioDuraciones() null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
